"Area","% of agricultural GVA produced by irrigated agriculture","% of total country area cultivated","Agriculture, value added (% GDP)","Agriculture, value added to GDP","Arable land area","Cultivated area (arable land + permanent crops)","GDP Deflator (2015)","GDP per capita","Gender Inequality Index (GII) [equality = 0; inequality = 1)","Gross Domestic Product (GDP)","Human Development Index (HDI) [highest = 1]","Industry, value added to GDP","Number of people undernourished (3-year average)","Permanent crops area","Population density","Prevalence of undernourishment (3-year average)","Rural population","Services, value added to GDP","Total area of the country (excl. coastal water)","Total population","Urban population"
"Afghanistan",44.399468287,12.331893515,33.484497,5002252164,7829,8051,94.1068937,372.548875,0.6934,14939009450,0.496,1945321364,11200,222,61.421226603,28.8,28674.023,7330925167,65286,40099.462,10239.684
"Albania",40.089518514,24.793725207,17.68325,3228969140,599.9,687.53,134.4070871,6396.461812,0.2174,18260043500,0.791,3363705028,100,87.63,102.946628201,4.1,1090.487,9330719320,2773,2854.71,1854.317
"Algeria",27.970194444,3.572836425,12.175658,19903888815,7530.6,8509.571,93.93215205,3700.324057,0.4131,163472801500,0.759,62764292030,1200,978.971,18.548603312,2.8,11317.455,74711956122,238174.1,44177.969,32651.848
"Andorra",23.882869168,1.60893617,0.531845,17681968,0.7476,0.7562,114.9307664,42066.041564,NA,3324647529,0.857,393237499,NA,0.0086,168.157446808,NA,9.383,2656943315,47,79.034,67.893
"Angola",0.478513803,4.56404909,9.016303,8101381220,5373,5690,74.42910847,2257.75873,NA,77901196950,0.574,33058851757,6700,317,27.676084062,20.1,11029.326,29331158372,124670,34503.774,22865.158
"Antigua and Barbuda",12.900977725,11.363636364,2.248752,31959259,4,5,107.3513296,15245.818985,NA,1421200000,0.776,242933333,NA,1,211.861363636,NA,80.252,976033333,44,93.219,25.873
"Argentina",5.446530553,15.564940188,6.024367,29352350216,42208.7597,43276.7597,79.08853473,10761.081627,0.3756,487227125400,0.83,99257254171,1500,1068,16.284268451,3.3,3567.989,276814888285,278040,45276.78,42346.437
"Armenia",27.180780988,16.937457969,11.337477,1571535246,443.42,503.72,109.7453373,4966.516675,0.3176,13861418910,0.76,3251343384,100,60.3,93.845796906,3.5,1075.114,7759772560,2974,2790.974,1864.83
"Australia",12.4453044,4.088502846,3.172689,55031298801,31265,31650,122.3590231,66915.859206,0.1101,1734531942000,0.938,449441178448,NA,385,3.348450115,NA,3504.916,1116909483364,774122,25921.089,22195.539
"Austria",4.713105369,16.541439455,1.212189,5822973541,1319.7654,1387.4794,118.614478,53840.393296,0.0528,480368403900,0.914,111960977191,NA,67.714,106.368483172,NA,3608.752,311953930687,8387.9,8922.082,5191.931
"Azerbaijan",66.495626128,27.286374134,5.876519,3209882353,2089,2363,100.9671278,5296.443212,0.303,54622176470,0.754,25728882353,200,274.1,119.087667436,2.5,4399.795,21069235295,8660,10312.992,5779.351
"Bahamas",0.022222839,0.792507205,0.489669,54885000,8,11,102.8933869,27478.389629,0.2979,11208600000,0.805,1009398000,NA,3,29.388040346,NA,68.295,9063533000,1388,407.906,342.261
"Bahrain",93.039509735,5.189873418,0.294049,114292859,2.1,4.1,114.3241838,26562.974041,0.2649,38868670210,0.838,15686168857,NA,2,1852.234177215,NA,181.021,22185955674,79,1463.265,1563.274
"Bangladesh",77.920172678,64.159381988,11.632859,48265542603,8110,9468,121.7968389,2449.906517,0.5034,414906983000,0.614,132604673251,19500,1358,1147.633333333,11.7,104707.739,218479671120,14757,169356.251,66791.896
"Barbados",53.011460042,18.604651163,1.482307,71800000,7,8,116.3816793,17225.462304,0.357,4843800000,0.813,5.39e+08,NA,1,653.953488372,3.4,198.059,3554450000,43,281.2,90.012
"Belarus",0.660289923,27.544189183,6.803858,4640651127,5624,5719,113.6508266,7121.004689,0.1507,68206172120,0.817,19527960846,300,95,46.130939652,3,1887.9,35350673875,20763,9578.167,7509.15
"Belgium",2.076088692,29.131673764,0.663174,3939944521,865.64,889.39,119.5009713,51165.510219,0.0633,594104177500,0.919,102270490147,NA,23.75,380.328169014,NA,219.756,422921559774,3053,11611.419,11449.399
"Belize",6.021690803,5.746626034,7.688418,191570272,100,132,108.6488653,6228.700853,0.4257,2491673431,0.72,352298793,NA,32,17.415367871,4.7,218.296,1606207832,2297,400.031,187.469
"Benin",1.009364125,29.627047752,28.528951,5046093382,2800,3400,112.1791506,1360.911474,0.6143,17687623530,0.52,2766302632,1300,600,113.252831997,10.2,6352.738,8262350466,11476,12996.895,6096.875
"Bhutan",30.515518201,2.604845012,17.002572,404894756,94,100,110.868964,3062.914976,0.4574,2381373513,0.617,527901763,NA,6,20.252305288,NA,481.101,1343424471,3839,777.486,363.051
"Bolivia (Plurinational State of)",19.156399469,4.6599858,12.922253,5221650827,4868.3672,5119.3672,109.2580725,3345.196589,0.4443,40408208530,0.703,9725238981,1900,251,10.995532415,16.2,3456.718,21364465311,109858,12079.472,8251.182
"Bosnia and Herzegovina",0.000533399,21.792618629,5.156666,1204869125,1008,1116,121.8473507,7143.283961,0.2007,23365274670,0.769,4710769840,100,108,63.873130248,2.8,1766.129,14079644018,5121,3270.943,1725.939
"Botswana",1.749669652,0.450380761,1.721781,303289225,260,262,106.8900244,6805.247713,0.4801,17614859700,0.728,5032537083,600,2,4.449526413,24.5,698.606,11405684223,58173,2588.423,1757.85
"Brazil",20.695252059,7.751355426,6.891292,110879599668,58252.76,66008.76,87.92716972,7507.160246,0.4569,1608981301000,0.761,262041695511,7800,7756,25.168155434,3.7,27304.243,996815639127,851577,214326.223,187973.657
"Brunei Darussalam",20.255183413,1.733102253,1.25629,175962217,4,10,106.0002227,31448.913607,NA,14006497000,0.845,8641250860,NA,6,77.187694974,5.9,96.423,5411510269,577,445.373,353.19
"Bulgaria",4.447417319,32.893356467,4.367024,3670813744,3500.4755,3649.5179,141.5531382,12207.257715,0.2116,84057565270,0.816,13554141282,200,149.0423,62.062803064,2.5,1652.403,56308203959,11095,6885.868,5239.807
"Burkina Faso",0.946331223,24.578805339,17.460657,3446317424,6100,6740,120.8309277,893.077196,0.6313,19737616000,0.434,6125673059,3300,640,80.594715921,15.5,14781.376,8500431449,27422,22100.683,6715.585
"Burundi",1.219472782,58.210564139,33.916507,1322658220,1270,1620,115.2612606,310.706844,0.4916,3899747783,0.423,635525871,NA,350,450.995795904,NA,10575.557,1566447641,2783,12551.213,1729.9
"Cabo Verde",9.902718775,13.399503722,4.409769,85380804,50,54,110.9711205,3293.233322,NA,1936174201,0.651,429188460,100,4,145.887096774,18.1,188.937,1167279591,403,587.925,385.375
"Cambodia",15.185104447,25.403997459,22.71797,6058766822,4120.1397,4599.1397,112.5770815,1607.658928,0.4775,26669490940,0.581,9580801738,800,479,91.63181065,4.6,12764.03,9074119661,18104,16589.023,4179.681
"Cameroon",0.720009808,16.300689887,17.200662,7803535845,6200,7750,116.2317383,1668.01241,0.5873,45367649040,0.563,10203758220,1500,1550,57.207277469,5.6,11138.276,23879838685,47544,27198.628,15475.489
"Canada",3.204396434,3.892275002,1.77526,35298145664,38259,38431,118.3545887,52112.061503,0.1292,1988336332000,0.922,434602519852,NA,172,3.864323058,NA,6958.095,1384205702765,987366,38155.012,30966.067
"Central African Republic",0.008184873,3.081960898,31.743277,799206242,1800,1920,124.5402861,461.361013,0.6549,2517718099,0.381,508248218,2400,120,8.759757938,45.7,2880.682,1095999096,62298,5457.154,2142.171
"Chad",0.990247251,4.157320872,43.902433,7204199015,5300,5338,112.7521769,955.169673,0.7065,16409566630,0.401,3471433036,5000,38,13.379859813,29.8,12778.64,4820392405,128400,17179.74,3987.074
"Chile",68.584166737,2.396388818,3.28487,10414961431,1313.9,1811.9,115.1019587,16265.096436,0.3376,317058517600,0.847,92984715345,500,498,25.781361097,2.6,2266.63,180939220368,75609.6,19493.184,16338.316
"China",64.130373293,13.401231853,7.422274,1345562629328,109461,128652,95.1,12437.602119,0.1907,18133209997880,0.758,6564820185474,122400,19191,151.867977887,8.5,540439.367,9823748082516,960001.3,1457934.562,920173.874
"Colombia",9.681457725,3.943472626,7.428969,23361443597,1993,4498,95.10819165,6104.136709,0.4285,314464137200,0.761,67686364272,3200,2505,45.165440644,6.3,9235.053,193219826896,114061.905,51516.562,41341.142
"Comoros",0.129009932,63.406770554,37.335786,500474447,65,118,111.5812613,1631.484553,NA,1340468496,0.538,108682539,100,53,441.496507254,11.9,625.324,683018536,186.1,821.625,263.083
"Congo",0.118201553,1.98245614,8.568209,1100211803,550,678,141.2885305,2200.317776,0.5934,12840627680,0.609,5426505103,1800,128,17.063760234,32,1850.391,6080329006,34200,5835.806,3983.698
"Cook Islands",NA,7.916666667,2.731097,8945543,0.5,1.9,127.4270602,19263.890025,NA,327543922,NA,23161581,NA,1.4,70.845833333,NA,4.261,265575264,24,17.003,13.289
"Costa Rica",32.435982969,11.956947162,4.454212,2863275923,243,611,96.72837219,12472.443327,0.3492,64282436590,0.794,11773780114,200,368,100.860215264,3.1,944.993,44419251144,5110,5153.957,4142.55
"Croatia",3.077214315,16.540024739,2.906968,2004502090,857,936,116.6084903,16983.447316,0.1489,68955088870,0.837,11416155747,100,79,71.746509984,2.5,1723.776,43878294149,5659,4060.135,2368.602
"Cuba",26.399302299,32.413542046,2.118237,2683671309,2908.6,3561.6,154.2421457,11255.278948,0.3559,126693606800,0.778,23107867071,300,653,102.442409902,2.8,2611.407,110808243197,10988,11256.372,8888.324
"Cyprus",33.100917385,13.0752,1.700328,483031143,95.1566,120.9456,111.4204578,22832.659719,0.1239,28408121230,0.873,3202742485,NA,25.789,134.506810811,6.8,402.982,21325517435,925,1244.188,812.868
"Czechia",1.53451669,32.005055341,1.845598,5200485896,2475.335,2524.272,133.5466018,26808.539856,0.0914,281777887100,0.891,74990335899,NA,48.937,133.265023512,NA,2742.083,175852416793,7887.104,10510.751,7891.767
"Côte d'Ivoire",1.536599012,31.941946288,20.401669,14233189607,3500,10300,106.8846841,2538.911071,0.6789,69764830610,0.516,12827645070,2100,6800,85.214442101,7.9,12828.984,38038336840,32246,27478.249,13998.744
"Democratic People's Republic of Korea",65.625571932,21.113323378,23.8,3986607750,2295,2545,111.8055267,644.944995,NA,16750452730,NA,6448924302,11400,250,215.462991538,43.9,9694.574,6314920679,12054,25971.909,16256.188
