"Area","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"Afghanistan",3.7,47,55.3,78.2,NA,NA,NA,NA
"Albania",2.7,95.2,95.1,94.9,0,0,NA,NA
"Algeria",2.8,81.8,83.6,84.3,NA,NA,NA,NA
"Andorra",3.3,100,100,100,NA,NA,NA,NA
"Angola",1.7,28.2,49,75.4,NA,NA,NA,NA
"Antigua and Barbuda",3.6,97.9,97.9,97.9,NA,NA,NA,NA
"Argentina",2.5,100,99.1,99,53.293613773,584,5607,NA
"Armenia",3.3,100,100,100,13.10012837,20.41,1.644,18.72
"Australia",2.7,100,100,100,10.283305054,200,NA,NA
"Austria",3.3,100,100,100,NA,NA,NA,NA
"Azerbaijan",3,77.8,87,94.7,18.191123981,270.12,NA,NA
"Bahamas",NA,98.4,98.4,98.4,NA,NA,NA,NA
"Bahrain",0,100,100,100,28.55227882,1.065,NA,1.86
"Bangladesh",4.9,87,86.9,86.5,1.98019802,100,NA,770
"Barbados",3.6,99.7,99.7,99.7,NA,NA,NA,NA
"Belarus",2.6,99.1,99.7,99.9,NA,NA,NA,NA
"Belgium",2.8,100,100,100,NA,NA,NA,NA
"Belize",2.6,100,99.5,98.9,NA,NA,NA,NA
"Benin",3.6,72.1,77.9,85.2,NA,NA,NA,NA
"Bhutan",4.7,100,100,100,NA,NA,NA,NA
"Bolivia (Plurinational State of)",3.1,75.6,90,96.7,4.045734713,21.91,NA,NA
"Bosnia and Herzegovina",3.6,100,99.9,99.7,NA,NA,NA,NA
"Botswana",2.1,92.3,96.2,99.2,NA,NA,NA,NA
"Brazil",3.1,87,98.1,100,0.270318976,15,NA,NA
"Brunei Darussalam",2.3,NA,NA,NA,NA,NA,NA,NA
"Bulgaria",3.2,99,99.4,99.6,NA,NA,NA,NA
"Burkina Faso",3.3,75.8,82.3,97.5,NA,NA,6172,NA
"Burundi",3.3,73.8,75.9,91.1,NA,NA,NA,NA
"Cabo Verde",NA,87.3,91.7,94,26.478142293,1,NA,0
"Cambodia",3.9,69.1,75.5,100,NA,NA,507,NA
"Cameroon",2.2,52.7,75.6,94.8,NA,NA,NA,NA
"Canada",1.9,99,99.8,100,NA,NA,NA,NA
"Central African Republic",2.3,54.4,68.5,89.6,NA,NA,NA,NA
"Chad",3,44.8,50.8,71.8,NA,NA,NA,NA
"Chile",2.5,93.3,99,99.7,3.030961816,33.6,NA,NA
"China",3.5,93,95.5,97.5,8.852246753,6700,NA,NA
"Colombia",3.7,73.8,91.4,96.8,96.209043009,300,7.089,NA
"Comoros",1.6,89.1,90.1,92.6,NA,NA,NA,NA
"Congo",1.7,40,76.5,95.8,NA,NA,175.2,NA
"Cook Islands",NA,99.9,99.9,99.9,NA,NA,NA,NA
"Costa Rica",3.1,91.9,97.8,99.6,NA,NA,315.9,NA
"Croatia",3,99.7,99.6,99.6,NA,NA,NA,NA
"Cuba",3,89.8,94.9,96.4,62.588993726,400,1033,NA
"Cyprus",0,100,100,100,NA,NA,NA,NA
"Czechia",3.2,100,100,100,NA,NA,NA,NA
"Côte d'Ivoire",2.3,68.8,81.9,93.1,NA,NA,1423,NA
"Democratic People's Republic of Korea",3,99.4,99.7,99.9,NA,NA,NA,NA
"Democratic Republic of the Congo",1.9,31.2,52.4,81.1,NA,NA,NA,2
