"Area","Agricultural water withdrawal as % of total renewable water resources","Flood occurrence (WRI)","Rural population with access to safe drinking-water (JMP)","SDG 6.4.1. Industrial Water Use Efficiency","SDG 6.4.1. Irrigated Agriculture Water Use Efficiency","SDG 6.4.1. Services Water Use Efficiency","SDG 6.4.1. Water Use Efficiency","SDG 6.4.2. Water Stress","Total population with access to safe drinking-water (JMP)","Urban population with access to safe drinking-water (JMP)","% of area equipped for irrigation salinized","Area salinized by irrigation","Population affected by water related disease","Area waterlogged by irrigation"
"Afghanistan",30.613806827,3.7,47,12.195516986,0.118002692,38.298908711,0.599678593,54.757019438,55.3,78.2,NA,NA,NA,NA
"Albania",1.867549669,2.7,95.2,250.262475036,1.707628764,31.270871287,13.075202009,4.783653846,95.1,94.9,0,0,NA,NA
"Algeria",57.178366332,2.8,81.8,349.836399597,0.888440217,22.093948336,14.555892852,137.920360208,83.6,84.3,NA,NA,NA,NA
"Andorra",NA,3.3,100,NA,NA,NA,NA,NA,100,100,NA,NA,NA,NA
"Angola",0.098854447,1.7,28.2,185.377975249,0.355042716,123.343291994,118.83937295,1.871883289,49,75.4,NA,NA,NA,NA
"Antigua and Barbuda",3.461538461,3.6,97.9,90.518984313,2.133729658,126.277136617,99.072483288,8.461538461,97.9,97.9,NA,NA,NA,NA
"Argentina",3.187482881,2.5,100,31.375361331,0.072373297,59.830144134,12.63973464,10.456664077,99.1,99,53.293613773,584,5607,NA
"Armenia",29.038486292,3.3,100,26.93295939,0.172528515,11.764905485,3.512827118,59.854750857,100,100,13.10012837,20.41,1.644,18.72
"Australia",2.280487805,2.7,100,122.437824652,0.498868898,393.454025092,77.7342274,4.599919582,100,100,10.283305054,200,NA,NA
"Austria",0.15958816,3.3,100,42.710701515,1.865918106,326.300484362,113.891788085,8.676429953,100,100,NA,NA,NA,NA
"Azerbaijan",34.497476568,3,77.8,42.612766962,0.176725165,51.145638894,3.737187055,57.265886509,87,94.7,18.191123981,270.12,NA,NA
"Bahamas",NA,NA,98.4,NA,NA,284.15046007,NA,NA,98.4,98.4,NA,NA,NA,NA
"Bahrain",124.74137931,0,100,973.104909389,0.642805922,70.414292216,76.473232445,133.706896552,100,100,28.55227882,1.065,NA,1.86
"Bangladesh",2.567170212,4.9,87,141.394360412,0.980258301,49.827892153,8.896911228,5.723339482,86.9,86.5,1.98019802,100,NA,770
"Barbados",68.5,3.6,99.7,74.698598949,0.596800299,152.70659529,43.826763897,87.5,99.7,99.7,NA,NA,NA,NA
"Belarus",0.683937824,2.6,99.1,39.959113181,0.068084116,51.927602999,33.90457135,4.696769941,99.7,99.9,NA,NA,NA,NA
"Belgium",0.279781421,2.8,100,23.569623937,1.336886732,478.899023651,99.420096715,51.87960688,100,100,NA,NA,NA,NA
"Belize",0.314714273,2.6,100,15.295021764,0.155226288,129.679609143,17.952668156,1.260294485,99.5,98.9,NA,NA,NA,NA
"Benin",0.223569534,3.6,72.1,82.198953406,0.769553804,50.795292215,42.208075418,0.975243811,77.9,85.2,NA,NA,NA,NA
"Bhutan",0.407692308,4.7,100,158.716423411,0.35044978,71.277809435,5.323417339,1.413807531,100,100,NA,NA,NA,NA
"Bolivia (Plurinational State of)",0.334494774,3.1,75.6,278.161339663,0.476833708,77.316523925,13.320639869,1.2429031,90,96.7,4.045734713,21.91,NA,NA
"Bosnia and Herzegovina",NA,3.6,100,64.542973965,NA,37.855701038,NA,2.034840637,99.9,99.7,NA,NA,NA,NA
"Botswana",0.637250817,2.1,92.3,170.89268575,0.063647895,83.316560345,65.848367783,2.442972916,96.2,99.2,NA,NA,NA,NA
"Brazil",0.477275356,3.1,87,30.472525709,0.632360606,69.722220162,21.658031845,1.481946279,98.1,100,0.270318976,15,NA,NA
"Brunei Darussalam",0.062352941,2.3,NA,NA,6.344142918,33.697608193,NA,3.466465712,NA,NA,NA,NA,NA,NA
"Bulgaria",3.056338028,3.2,99,2.751523727,0.17716166,47.468789223,9.955620886,37.519402764,99.4,99.6,NA,NA,NA,NA
"Burkina Faso",3.116296296,3.3,75.8,233.623200975,0.064157558,18.729978373,14.830800028,7.820267686,82.3,97.5,NA,NA,6172,NA
"Burundi",1.770899809,3.3,73.8,36.758570208,0.06303524,31.532270809,6.870450725,10.19286754,75.9,91.1,NA,NA,NA,NA
"Cabo Verde",36.42317,NA,87.3,68.400248838,0.069727761,7.406205887,5.628532843,57.177506667,91.7,94,26.478142293,1,NA,0
"Cambodia",0.43121193,3.9,69.1,257.892034085,0.398073335,82.248586063,7.961558203,1.03654485,75.5,100,NA,NA,507,NA
"Cameroon",0.260286067,2.2,52.7,83.927394717,0.065589999,83.245640737,26.986557746,1.560430107,75.6,94.8,NA,NA,NA,NA
"Canada",0.132977257,1.9,99,14.671718751,0.247649954,240.34961402,45.557452076,3.733573635,99.8,100,NA,NA,NA,NA
"Central African Republic",0.000283688,2.3,54.4,34.008287192,0.131310957,14.642858474,17.768107103,0.335648148,68.5,89.6,NA,NA,NA,NA
